subject, StimLat, CurrentTask, TaskCondition, chooseSequence, block, trial, ThisITI, SetSize, ShownLocs, AllColors, ShownColors, ProbeType, ProbeMatch, ChosenProbeColor, CorrectProbeColor, correctResp, ProbeLoc, probert, msecProbeRT, probeACC, response, error, scannerStart, runStart, trialStart, stimStart, probeStart, stimFlip, SeqStartTime, Onset, centralJitter, LastITI, matchCond
103, Left, 1, SpatialChangeDetection, 16, 1, 28, 3.500000e+00, 3, [2 3 4], [1 21 41 61 81 101 121 141 160], [101 81 1], 1, 2, 9, 121, 2, 2, 9.309182e-01, 931, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634280e+06, 1.634284e+06, 1.634285e+06, 1.634284e+06, 139, 145, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 29, 2, 4, [5 6 7 8], [1 21 41 61 81 101 121 141 160], [1 41 141 61], 1, 1, 3, 141, 1, 7, 1.077911e+00, 1078, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634287e+06, 1.634289e+06, 1.634291e+06, 1.634289e+06, 1.445000e+02, 1.505000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 30, 1.500000e+00, 1, 8, [1 21 41 61 81 101 121 141 160], 41, 1, 2, 9, 121, 2, 8, 4.996510e-01, 500, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634293e+06, 1.634294e+06, 1.634296e+06, 1.634294e+06, 1.495000e+02, 1.555000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 31, 1, 4, [2 3 4 5], [1 21 41 61 81 101 121 141 160], [160 41 101 1], 1, 1, 1, 160, 1, 2, 8.297955e-01, 830, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634298e+06, 1.634299e+06, 1.634300e+06, 1.634299e+06, 154, 160, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 32, 3.500000e+00, 5, [3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [1 21 81 141 101], 1, 1, 3, 81, 1, 5, 1.857693e+00, 1858, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634302e+06, 1.634306e+06, 1.634307e+06, 1.634306e+06, 161, 167, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 33, 1, 7, [3 4 5 6 7 8 9], [1 21 41 61 81 101 121 141 160], [61 121 160 41 81 1 141], 1, 2, 9, 101, 2, 9, 1.110570e+00, 1111, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634309e+06, 1.634310e+06, 1.634312e+06, 1.634310e+06, 1.655000e+02, 1.715000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 34, 2, 4, [5 6 7 8], [1 21 41 61 81 101 121 141 160], [160 121 61 81], 1, 1, 1, 160, 1, 5, 7.700269e-01, 770, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634314e+06, 1.634316e+06, 1.634317e+06, 1.634316e+06, 171, 177, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 35, 3, 4, [5 6 7 8], [1 21 41 61 81 101 121 141 160], [41 1 101 160], 1, 1, 4, 160, 1, 8, 9.061473e-01, 906, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634319e+06, 1.634322e+06, 1.634324e+06, 1.634322e+06, 1.775000e+02, 1.835000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 36, 2.500000e+00, 5, [2 3 4 5 6], [1 21 41 61 81 101 121 141 160], [141 101 21 41 81], 1, 2, 5, 81, 2, 5, 7.341123e-01, 734, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634326e+06, 1.634328e+06, 1.634330e+06, 1.634328e+06, 1.835000e+02, 1.895000e+02, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 37, 3, 4, [4 5 6 7], [1 21 41 61 81 101 121 141 160], [61 101 21 81], 1, 2, 9, 1, 2, 7, 7.153576e-01, 715, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634332e+06, 1.634335e+06, 1.634336e+06, 1.634335e+06, 190, 196, 0, 6, novel non-match
