subject, session, target, StimLat, CurrentTask, TaskCondition, block, trial, LoadLevel, SetSize, ShownLocs, AllColors, ShownColors, ProbeMatch, ChosenProbeColor, CorrectProbeColor, ProbeLoc, probert, msecProbeRT, probeACC, response, error, matchCond
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 69, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [81 41 241], 1, 3, 241, 7, 8.723225e-01, 872, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 70, 1, 1, 9, [1 41 81 121 161 201 241 281 320], 161, 2, 9, 241, 9, 1.465363e+00, 1465, 1, d, NA, novel non-match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 71, 3, 5, [2 3 4 5 6], [1 41 81 121 161 201 241 281 320], [281 320 121 1 241], 1, 5, 241, 6, 7.469101e-01, 747, 1, s, NA, match
103, 3, INF, Left, 1, SpatialChangeDetection, 1, 72, 2, 3, [5 6 7], [1 41 81 121 161 201 241 281 320], [161 1 320], 2, 2, 1, 5, 8.438735e-01, 844, 1, d, NA, lure
103, 3, INF, Left, 2, Precision, 2, 1, 1, 1, 9, 228, 228, 99, 1, 228, 9, 1.718780e+00, 1719, 5, 233, 5, NA
103, 3, INF, Left, 2, Precision, 2, 2, 1, 1, 6, 271, 271, 99, 1, 271, 6, 2.143950e+00, 2144, 15, 286, 15, NA
103, 3, INF, Left, 2, Precision, 2, 3, 2, 3, [7 8 9], [165 255 14], [255 165 14], 99, 1, 255, 7, 1.569057e+00, 1569, 17, 238, -17, NA
103, 3, INF, Left, 2, Precision, 2, 4, 1, 1, 9, 237, 237, 99, 1, 237, 9, 1.625747e+00, 1626, 4, 241, 4, NA
103, 3, INF, Left, 2, Precision, 2, 5, 2, 3, [4 5 6], [120 303 136], [303 136 120], 99, 1, 303, 4, 1.642666e+00, 1643, 17, 286, -17, NA
103, 3, INF, Left, 2, Precision, 2, 6, 3, 5, [5 6 7 8 9], [114 198 279 58 169], [279 114 198 58 169], 99, 1, 279, 5, 2.020546e+00, 2021, 19, 260, -19, NA
103, 3, INF, Left, 2, Precision, 2, 7, 3, 5, [1 2 3 4 5], [31 249 218 108 54], [54 31 249 108 218], 99, 1, 54, 1, 1.716943e+00, 1717, 21, 33, -21, NA
103, 3, INF, Left, 2, Precision, 2, 8, 3, 5, [3 4 5 6 7], [149 144 228 286 352], [144 286 149 352 228], 99, 5, 228, 7, 1.470595e+00, 1471, 15, 243, 15, NA
103, 3, INF, Left, 2, Precision, 2, 9, 1, 1, 9, 105, 105, 99, 1, 105, 9, 1.576084e+00, 1576, 0, 105, 0, NA
103, 3, INF, Left, 2, Precision, 2, 10, 4, 7, [3 4 5 6 7 8 9], [270 20 335 283 92 280 82], [92 335 283 20 280 82 270], 99, 2, 335, 4, 2.153106e+00, 2153, 98, 73, 98, NA
103, 3, INF, Left, 2, Precision, 2, 11, 1, 1, 6, 24, 24, 99, 1, 24, 6, 1.241790e+00, 1242, 4, 28, 4, NA
103, 3, INF, Left, 2, Precision, 2, 12, 3, 5, [2 3 4 5 6], [328 65 4 187 206], [187 206 4 65 328], 99, 5, 328, 6, 1.859138e+00, 1859, 40, 8, 40, NA
103, 3, INF, Left, 2, Precision, 2, 13, 1, 1, 2, 196, 196, 99, 1, 196, 2, 1.323740e+00, 1324, 7, 203, 7, NA
103, 3, INF, Left, 2, Precision, 2, 14, 3, 5, [5 6 7 8 9], [309 84 307 139 149], [307 84 309 149 139], 99, 1, 307, 5, 2.341309e+00, 2341, 31, 338, 31, NA
103, 3, INF, Left, 2, Precision, 2, 15, 3, 5, [4 5 6 7 8], [86 214 259 247 139], [247 139 214 86 259], 99, 2, 139, 5, 3.351105e+00, 3351, 4, 143, 4, NA
103, 3, INF, Left, 2, Precision, 2, 16, 1, 1, 3, 346, 346, 99, 1, 346, 3, 1.383502e+00, 1384, 1, 345, -1, NA
103, 3, INF, Left, 2, Precision, 2, 17, 4, 7, [2 3 4 5 6 7 8], [202 19 7 178 276 355 209], [7 178 355 19 276 202 209], 99, 3, 355, 4, 1.712135e+00, 1712, 135, 220, -135, NA
103, 3, INF, Left, 2, Precision, 2, 18, 2, 3, [6 7 8], [142 235 346], [235 346 142], 99, 2, 346, 7, 1.673262e+00, 1673, 2, 348, 2, NA
103, 3, INF, Left, 2, Precision, 2, 19, 3, 5, [3 4 5 6 7], [356 76 96 56 179], [76 96 56 356 179], 99, 4, 356, 6, 3.387461e+00, 3387, 80, 276, -80, NA
103, 3, INF, Left, 2, Precision, 2, 20, 2, 3, [6 7 8], [37 125 175], [37 125 175], 99, 2, 125, 7, 1.266966e+00, 1267, 5, 130, 5, NA
103, 3, INF, Left, 2, Precision, 2, 21, 4, 7, [2 3 4 5 6 7 8], [160 338 272 1 336 91 240], [1 338 272 160 336 240 91], 99, 1, 1, 2, 1.572766e+00, 1573, 9, 352, -9, NA
103, 3, INF, Left, 2, Precision, 2, 22, 2, 3, [5 6 7], [315 39 212], [39 315 212], 99, 1, 39, 5, 1.468981e+00, 1469, 23, 16, -23, NA
103, 3, INF, Left, 2, Precision, 2, 23, 2, 3, [5 6 7], [225 150 346], [346 150 225], 99, 1, 346, 5, 1.565972e+00, 1566, 12, 358, 12, NA
103, 3, INF, Left, 2, Precision, 2, 24, 3, 5, [2 3 4 5 6], [85 180 357 197 352], [352 180 85 357 197], 99, 3, 85, 4, 2.486845e+00, 2487, 75, 10, -75, NA
103, 3, INF, Left, 2, Precision, 2, 25, 3, 5, [1 2 3 4 5], [221 84 195 339 351], [221 339 84 195 351], 99, 4, 195, 4, 3.047725e+00, 3048, 172, 7, 172, NA
103, 3, INF, Left, 2, Precision, 2, 26, 3, 5, [5 6 7 8 9], [150 310 12 120 212], [310 12 150 120 212], 99, 3, 150, 7, 2.129015e+00, 2129, 97, 53, -97, NA
103, 3, INF, Left, 2, Precision, 2, 27, 3, 5, [4 5 6 7 8], [4 315 141 314 174], [174 315 314 4 141], 99, 4, 4, 7, 4.000794e+00, Time-out, 142, 146, 142, NA
103, 3, INF, Left, 2, Precision, 2, 28, 2, 3, [5 6 7], [176 262 115], [176 262 115], 99, 2, 262, 6, 2.228145e+00, 2228, 6, 268, 6, NA
103, 3, INF, Left, 2, Precision, 2, 29, 1, 1, 9, 171, 171, 99, 1, 171, 9, 4.000783e+00, Time-out, 11, 182, 11, NA
103, 3, INF, Left, 2, Precision, 2, 30, 1, 1, 7, 312, 312, 99, 1, 312, 7, 4.000428e+00, Time-out, 3, 315, 3, NA
103, 3, INF, Left, 2, Precision, 2, 31, 2, 3, [2 3 4], [259 214 282], [282 214 259], 99, 3, 259, 4, 4.000498e+00, Time-out, 10, 269, 10, NA
103, 3, INF, Left, 2, Precision, 2, 32, 1, 1, 7, 284, 284, 99, 1, 284, 7, 4.000587e+00, Time-out, 7, 291, 7, NA
103, 3, INF, Left, 2, Precision, 2, 33, 1, 1, 6, 281, 281, 99, 1, 281, 6, 4.000450e+00, Time-out, 1, 282, 1, NA
103, 3, INF, Left, 2, Precision, 2, 34, 3, 5, [1 2 3 4 5], [343 37 110 313 45], [313 45 343 37 110], 99, 3, 343, 3, 4.000519e+00, Time-out, 34, 17, 34, NA
103, 3, INF, Left, 2, Precision, 2, 35, 1, 1, 5, 267, 267, 99, 1, 267, 5, 4.000125e+00, Time-out, 45, 222, -45, NA
103, 3, INF, Left, 2, Precision, 2, 36, 3, 5, [3 4 5 6 7], [209 306 327 313 67], [327 209 67 313 306], 99, 2, 209, 4, 4.000158e+00, Time-out, 110, 319, 110, NA
103, 3, INF, Left, 2, Precision, 2, 37, 1, 1, 6, 324, 324, 99, 1, 324, 6, 4.000476e+00, Time-out, 7, 331, 7, NA
103, 3, INF, Left, 2, Precision, 2, 38, 4, 7, [1 2 3 4 5 6 7], [196 294 217 238 256 280 118], [118 196 217 294 238 280 256], 99, 1, 118, 1, 4.000439e+00, Time-out, 12, 130, 12, NA
103, 3, INF, Left, 2, Precision, 2, 39, 4, 7, [1 2 3 4 5 6 7], [231 134 310 51 114 87 173], [173 134 310 231 87 114 51], 99, 2, 134, 2, 2.489992e+00, 2490, 22, 156, 22, NA
103, 3, INF, Left, 2, Precision, 2, 40, 4, 7, [3 4 5 6 7 8 9], [266 126 322 265 235 287 185], [322 287 126 235 265 266 185], 99, 2, 287, 4, 1.547791e+00, 1548, 137, 64, 137, NA
103, 3, INF, Left, 2, Precision, 2, 41, 1, 1, 5, 340, 340, 99, 1, 340, 5, 1.628626e+00, 1629, 14, 354, 14, NA
103, 3, INF, Left, 2, Precision, 2, 42, 3, 5, [4 5 6 7 8], [157 354 50 360 335], [335 50 354 157 360], 99, 2, 50, 5, 1.790887e+00, 1791, 15, 35, -15, NA
103, 3, INF, Left, 2, Precision, 2, 43, 4, 7, [2 3 4 5 6 7 8], [345 355 59 126 262 331 316], [345 316 262 355 331 59 126], 99, 6, 59, 7, 2.375859e+00, 2376, 11, 70, 11, NA
103, 3, INF, Left, 2, Precision, 2, 44, 2, 3, [1 2 3], [197 293 96], [293 197 96], 99, 1, 293, 1, 3.192941e+00, 3193, 16, 309, 16, NA
103, 3, INF, Left, 2, Precision, 2, 45, 3, 5, [1 2 3 4 5], [74 36 192 225 164], [36 164 74 225 192], 99, 4, 225, 4, 1.834381e+00, 1834, 4, 229, 4, NA
103, 3, INF, Left, 2, Precision, 2, 46, 2, 3, [2 3 4], [134 288 317], [317 134 288], 99, 3, 288, 4, 1.938456e+00, 1938, 4, 292, 4, NA
103, 3, INF, Left, 2, Precision, 2, 47, 3, 5, [3 4 5 6 7], [194 271 263 328 66], [271 328 194 263 66], 99, 1, 271, 3, 2.205233e+00, 2205, 10, 261, -10, NA
103, 3, INF, Left, 2, Precision, 2, 48, 4, 7, [3 4 5 6 7 8 9], [199 149 50 205 1 174 11], [149 50 11 205 1 174 199], 99, 7, 199, 9, 1.901618e+00, 1902, 16, 215, 16, NA
103, 3, INF, Left, 2, Precision, 2, 49, 4, 7, [2 3 4 5 6 7 8], [340 187 247 223 347 78 7], [223 340 7 347 247 187 78], 99, 2, 340, 3, 1.998988e+00, 1999, 19, 359, 19, NA
103, 3, INF, Left, 2, Precision, 2, 50, 3, 5, [1 2 3 4 5], [295 106 213 126 24], [213 106 126 295 24], 99, 4, 295, 4, 1.551047e+00, 1551, 17, 278, -17, NA
103, 3, INF, Left, 2, Precision, 2, 51, 4, 7, [1 2 3 4 5 6 7], [44 266 73 357 208 23 6], [357 23 266 6 73 44 208], 99, 6, 44, 6, 2.591900e+00, 2592, 119, 285, -119, NA
103, 3, INF, Left, 2, Precision, 2, 52, 4, 7, [2 3 4 5 6 7 8], [246 321 80 303 62 334 13], [246 13 80 334 321 62 303], 99, 1, 246, 2, 1.696824e+00, 1697, 6, 240, -6, NA
103, 3, INF, Left, 2, Precision, 2, 53, 2, 3, [3 4 5], [236 135 354], [236 135 354], 99, 2, 135, 4, 1.730280e+00, 1730, 7, 128, -7, NA
103, 3, INF, Left, 2, Precision, 2, 54, 2, 3, [4 5 6], [6 309 221], [309 221 6], 99, 3, 6, 6, 4.000621e+00, Time-out, 2, 8, 2, NA
103, 3, INF, Left, 2, Precision, 2, 55, 2, 3, [4 5 6], [101 89 197], [89 197 101], 99, 3, 101, 6, 4.000652e+00, Time-out, 26, 127, 26, NA
103, 3, INF, Left, 2, Precision, 2, 56, 2, 3, [6 7 8], [69 9 358], [9 358 69], 99, 2, 358, 7, 2.558261e+00, 2558, 5, 3, 5, NA
103, 3, INF, Left, 2, Precision, 2, 57, 4, 7, [3 4 5 6 7 8 9], [217 225 178 9 37 126 271], [225 126 271 178 217 9 37], 99, 1, 225, 3, 1.479626e+00, 1480, 26, 199, -26, NA
103, 3, INF, Left, 2, Precision, 2, 58, 4, 7, [3 4 5 6 7 8 9], [137 332 193 56 350 288 98], [350 332 56 288 193 98 137], 99, 7, 137, 9, 4.000231e+00, Time-out, 7, 130, -7, NA
103, 3, INF, Left, 2, Precision, 2, 59, 2, 3, [1 2 3], [291 36 124], [124 36 291], 99, 1, 124, 1, 4.000735e+00, Time-out, 12, 112, -12, NA
103, 3, INF, Left, 2, Precision, 2, 60, 4, 7, [1 2 3 4 5 6 7], [102 307 35 273 183 359 264], [359 273 35 307 102 264 183], 99, 6, 264, 6, 4.000153e+00, Time-out, 71, 193, -71, NA
